txid,from_address,to_address,value,timestamp,classification,inputs,outputs,meta
peel_tx_000,peel_addr_0,peel_addr_1,100.0,2025-08-25T10:00:00Z,illicit,"[{""address"": ""peel_addr_0"", ""amount"": 100.0, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_1"", ""amount"": 95.0}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 1, ""original_amount"": 100.0}"
peel_tx_001,peel_addr_1,peel_addr_2,85.0,2025-08-25T11:00:00Z,unknown,"[{""address"": ""peel_addr_1"", ""amount"": 85.0, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_2"", ""amount"": 80.75}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 2, ""original_amount"": 100.0}"
peel_tx_002,peel_addr_2,peel_addr_3,72.25,2025-08-25T12:00:00Z,unknown,"[{""address"": ""peel_addr_2"", ""amount"": 72.25, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_3"", ""amount"": 68.6375}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 3, ""original_amount"": 100.0}"
peel_tx_003,peel_addr_3,peel_addr_4,61.4125,2025-08-25T13:00:00Z,illicit,"[{""address"": ""peel_addr_3"", ""amount"": 61.4125, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_4"", ""amount"": 58.341875}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 4, ""original_amount"": 100.0}"
peel_tx_004,peel_addr_4,peel_addr_5,52.200625,2025-08-25T14:00:00Z,unknown,"[{""address"": ""peel_addr_4"", ""amount"": 52.200625, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_5"", ""amount"": 49.590594}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 5, ""original_amount"": 100.0}"
peel_tx_005,peel_addr_5,peel_addr_6,44.370531,2025-08-25T15:00:00Z,unknown,"[{""address"": ""peel_addr_5"", ""amount"": 44.370531, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_6"", ""amount"": 42.152005}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 6, ""original_amount"": 100.0}"
peel_tx_006,peel_addr_6,peel_addr_7,37.714952,2025-08-25T16:00:00Z,illicit,"[{""address"": ""peel_addr_6"", ""amount"": 37.714952, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_7"", ""amount"": 35.829204}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 7, ""original_amount"": 100.0}"
peel_tx_007,peel_addr_7,peel_addr_8,32.057709,2025-08-25T17:00:00Z,unknown,"[{""address"": ""peel_addr_7"", ""amount"": 32.057709, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_8"", ""amount"": 30.454823}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 8, ""original_amount"": 100.0}"
peel_tx_008,peel_addr_8,peel_addr_9,27.249053,2025-08-25T18:00:00Z,unknown,"[{""address"": ""peel_addr_8"", ""amount"": 27.249053, ""script_type"": ""p2wpkh""}]","[{""address"": ""peel_addr_9"", ""amount"": 25.8866}]","{""source"": ""synthetic"", ""pattern"": ""peel_chain"", ""hop_number"": 9, ""original_amount"": 100.0}"
struct_tx_000,donor_000,struct_target_001,0.006349,2025-08-25T12:00:00Z,illicit,"[{""address"": ""donor_000"", ""amount"": 0.006349, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.006032}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 1, ""total_donors"": 25}"
struct_tx_001,donor_001,struct_target_001,0.006506,2025-08-25T12:01:00Z,unknown,"[{""address"": ""donor_001"", ""amount"": 0.006506, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.006181}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 2, ""total_donors"": 25}"
struct_tx_002,donor_002,struct_target_001,0.005094,2025-08-25T12:02:00Z,unknown,"[{""address"": ""donor_002"", ""amount"": 0.005094, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.004839}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 3, ""total_donors"": 25}"
struct_tx_003,donor_003,struct_target_001,0.008768,2025-08-25T12:03:00Z,unknown,"[{""address"": ""donor_003"", ""amount"": 0.008768, ""script_type"": ""p2wpkh""}]","[{""address"": ""struct_target_001"", ""amount"": 0.00833}]","{""source"": ""synthetic"", ""pattern"": ""structuring"", ""deposit_number"": 4, ""total_donors"": 25}"
